REPORTER	DATE	JOURNAL	VILLE	PAYS	LATITUDE	LONGITUDE	TITRE	SUJET	URL	A_LA_UNE
Andrée Viollis	1935-11-09	Le Petit Parisien	Londres	Angleterre	51.5073513	-0.12775829999998228		Wickham Steed: éléctions anglaise	https://www.retronews.fr/journal/le-petit-parisien/09-novembre-1935/2/61152/5	
Andrée Viollis	1935-11-09	Le Petit Parisien	Londres	Angleterre	51.5073513	-0.12775829999998228		Election anglaises (entretien Wickham)	https://www.retronews.fr/journal/le-petit-parisien/09-novembre-1935/2/61152/5	
Andrée Viollis	1935-11-10	Le Petit Parisien	Leeds	Angleterre	53.83000755	-1.580017539		Lutte electoral	https://www.retronews.fr/journal/le-petit-parisien/10-novembre-1935/2/61150/1	
Andrée Viollis	1935-11-13	Le Petit Parisien	Londres	Angleterre	51.5073513	-0.12775829999998228		Porpagande anglaise	https://www.retronews.fr/journal/le-petit-parisien/13-novembre-1935/2/61144/1	
Andrée Viollis	1935-11-14	Le Petit Parisien	Londres	Angleterre	51.5073513	-0.12775829999998228		Vote en Angleterre	https://www.retronews.fr/journal/le-petit-parisien/14-novembre-1935/2/61142/1	
Andrée Viollis	1936-01-24	Le Petit Parisien	Londes	Angleterre	51.49999473	-0.116721844		Mort du Roi George V	https://www.retronews.fr/journal/le-petit-parisien/24-janvier-1936/2/61000/1	
Andrée Viollis	1936-02-03	Le Petit Parisien	Londres	Angleterre	51.5073513	-0.12775829999998228		Les travaillistes anglais	https://www.retronews.fr/journal/le-petit-parisien/03-fevrier-1936/2/60980/1	
Andrée Viollis	1936-02-24	Le Petit Parisien	Paris	France	48.86669293	2.333335326		Relation diplomatique avec l'Inde	https://www.retronews.fr/journal/le-petit-parisien/24-fevrier-1936/2/60940/1	
Andrée Viollis	1936-08-01	Le Petit Parisien	Barcelone	Espagne	41.38506390000001	2.1734034999999494		Président de la Catalogne	https://www.retronews.fr/journal/le-petit-parisien/01-aout-1936/2/60624/1	
Andrée Viollis	1936-08-06	Le Petit Parisien	Madrid	Espagne	40.40002626	-3.683351686		Point de vue du Président Azana	https://www.retronews.fr/journal/le-petit-parisien/06-aout-1936/2/60614/1	
Andrée Viollis	1936-08-09	Le Petit Parisien	Madrid	Espagne	40.40002626	-3.683351686		Arrivé de Franco	https://www.retronews.fr/journal/le-petit-parisien/09-aout-1936/2/60608/1	
Andrée Viollis	1936-08-18	Le Petit Parisien	Madrid	Espagne	40.40002626	-3.683351686		Exécutiondes Ex chefs insurgés	https://www.retronews.fr/journal/le-petit-parisien/18-aout-1936/2/60590/1	
Andrée Viollis	1936-10-01	Le Petit Parisien	Madrid	Espagne	40.40002626	-3.683351686		Detresse des fugitifs	https://www.retronews.fr/journal/le-petit-parisien/01-octobre-1936/2/60504/1	
Andrée Viollis	1936-10-08	Le Petit Parisien	Madrid	Espagne	40.40002626	-3.683351686		Déclaration du Président Azana	https://www.retronews.fr/journal/le-petit-parisien/08-octobre-1936/2/60486/1	
Andrée Viollis	1936-10-08	Le Petit Parisien	Madrid	Espagne	40.40002626	-3.683351686		Déclaration du Président Azana	https://www.retronews.fr/journal/le-petit-parisien/08-octobre-1936/2/60486/1	
Andrée Viollis	1936-10-10	Le Petit Parisien	Madrid	Espagne	40.40002626	-3.683351686		Ressitance espagnole	https://www.retronews.fr/journal/le-petit-parisien/10-octobre-1936/2/60488/3	
Andrée Viollis	1936-12-06	Le Petit Parisien	Londres	Angleterre	51.5073513	-0.12775829999998228		Crise anglaise	https://www.retronews.fr/journal/le-petit-parisien/06-decembre-1936/2/60374/1	
Andrée Viollis	1937-01-07	Le Petit Parisien	La Haye	Hollande	52.071195	4.30197		Mariage royale	https://www.retronews.fr/journal/le-petit-parisien/07-janvier-1937/2/60312/1	
Andrée Viollis	1937-05-09	Le Petit Parisien	Londres	Angleterre	51.5073513	-0.12775829999998228		Affluence des visiteurs	https://www.retronews.fr/journal/le-petit-parisien/09-mai-1937/2/60070/3	
Andrée Viollis	1937-05-12	Le Petit Parisien	Londres	Angleterre	51.5073513	-0.12775829999998228			https://www.retronews.fr/journal/le-petit-parisien/12-mai-1937/2/60064/1	
Andrée Viollis	1938-03-14	Ce soir	Vienne	Autriche	48.2081743	16.37381890000006		Venue d'Hitler Ã Vienne	https://www.retronews.fr/journal/ce-soir/14-mars-1938/19/1176699/3	
Andrée Viollis	1938-03-15	Ce soir	Vienne	Autriche	48.2081743	16.37381890000006		Entrée d'Hitler dans Vienne	https://www.retronews.fr/journal/ce-soir/15-mars-1938/19/1176701/5	
Andrée Viollis	1938-03-16	Ce soir	Vienne	Autriche	48.2081743	16.37381890000006		Hitler Ã Vienne	https://www.retronews.fr/journal/ce-soir/16-mars-1938/19/1176595/3	
Andrée Viollis	1938-03-18	Ce soir	Vienne	Autriche	48.2081743	16.37381890000006		Installation du nazisme Ã Vienne	https://www.retronews.fr/journal/ce-soir/18-mars-1938/19/1200563/1	
Andrée Viollis	1938-03-21	Ce soir	Prague	République Tchèque	50.08333701	14.46597978		Ã‰pidémie	https://www.retronews.fr/journal/ce-soir/21-mars-1938/19/1176905/3	
Andrée Viollis	1938-04-03	Ce soir	Vienne	Autriche	48.2081743	16.37381890000006		Arrivée du nazisme en Autriche	https://www.retronews.fr/journal/ce-soir/03-avril-1938/19/1200663/5	
Andrée Viollis	1938-05-01	Ce soir	Prague	République Tchèque	50.08333701	14.46597978		Citadelle des vielles libertés	https://www.retronews.fr/journal/ce-soir/01-mai-1938/19/1200671/8	
Andrée Viollis	1938-05-07	Ce soir	Eger	Hongrie	47.90253480000001	20.377228400000035		Fief de Konrad Henlein	https://www.retronews.fr/journal/ce-soir/07-mai-1938/19/1176801/6	
